seed,N,method,kendall_tau_b,spearman_rho,top1_correct,top3_set_correct,mean_abs_rank_error,recovered_true_tie
2,8,bradley_terry_davidson,0.9908673886,0.9977246842,1,1,0.09090909091,0
2,8,thompson,0.9908673886,0.9977246842,1,1,0.09090909091,0
2,8,rasch,0.9908673886,0.9977246842,1,1,0.09090909091,0
2,8,borda,0.9908673886,0.9977246842,1,1,0.09090909091,0
2,8,pagerank,0.9908673886,0.9977246842,1,1,0.09090909091,0
2,8,plackett_luce,0.9908673886,0.9977246842,1,1,0.09090909091,0
2,16,avg,0.9908673886,0.9977246842,1,1,0.09090909091,0
2,16,bayes,0.9908673886,0.9977246842,1,1,0.09090909091,0
2,16,elo,0.5871806747,0.747154558,0,0,1.545454545,0
2,16,glicko,0.9908673886,0.9977246842,1,1,0.09090909091,0
2,16,bradley_terry_davidson,0.9908673886,0.9977246842,1,1,0.09090909091,0
2,16,thompson,0.9908673886,0.9977246842,1,1,0.09090909091,0
2,16,rasch,0.9908673886,0.9977246842,1,1,0.09090909091,0
2,16,borda,0.9908673886,0.9977246842,1,1,0.09090909091,0
2,16,pagerank,0.9908673886,0.9977246842,1,1,0.09090909091,0
2,16,plackett_luce,0.9908673886,0.9977246842,1,1,0.09090909091,0
2,32,avg,0.9908673886,0.9977246842,1,1,0.09090909091,0
2,32,bayes,0.9908673886,0.9977246842,1,1,0.09090909091,0
2,32,elo,0.6238794669,0.747154558,0,1,1.545454545,0
2,32,glicko,0.9908673886,0.9977246842,1,1,0.09090909091,0
2,32,bradley_terry_davidson,0.9908673886,0.9977246842,1,1,0.09090909091,0
2,32,thompson,0.9908673886,0.9977246842,1,1,0.09090909091,0
2,32,rasch,0.9908673886,0.9977246842,1,1,0.09090909091,0
2,32,borda,0.9908673886,0.9977246842,1,1,0.09090909091,0
2,32,pagerank,0.9908673886,0.9977246842,1,1,0.09090909091,0
2,32,plackett_luce,0.9908673886,0.9977246842,1,1,0.09090909091,0
3,1,avg,0.9908673886,0.9977246842,1,1,0.09090909091,0
3,1,bayes,0.9908673886,0.9977246842,1,1,0.09090909091,0
3,1,elo,0.5504818826,0.747154558,0,0,1.909090909,0
3,1,glicko,0.9908673886,0.9977246842,1,1,0.09090909091,0
3,1,bradley_terry_davidson,0.9908673886,0.9977246842,1,1,0.09090909091,0
3,1,thompson,0.9908673886,0.9977246842,1,1,0.09090909091,0
3,1,rasch,0.9541685964,0.9886130432,1,1,0.2727272727,0
3,1,borda,0.9908673886,0.9977246842,1,1,0.09090909091,0
3,1,pagerank,0.9908673886,0.9977246842,1,1,0.09090909091,0
3,1,plackett_luce,0.9908673886,0.9977246842,1,1,0.09090909091,0
3,2,avg,0.9908673886,0.9977246842,1,1,0.09090909091,0
3,2,bayes,0.9908673886,0.9977246842,1,1,0.09090909091,0
3,2,elo,0.6238794669,0.7744894809,0,0,1.909090909,0
3,2,glicko,0.9908673886,0.9977246842,1,1,0.09090909091,0
3,2,bradley_terry_davidson,0.9908673886,0.9977246842,1,1,0.09090909091,0
3,2,thompson,0.9908673886,0.9977246842,1,1,0.09090909091,0
3,2,rasch,0.9908673886,0.9977246842,1,1,0.09090909091,0
3,2,borda,0.9908673886,0.9977246842,1,1,0.09090909091,0
3,2,pagerank,0.9908673886,0.9977246842,1,1,0.09090909091,0
3,2,plackett_luce,0.9908673886,0.9977246842,1,1,0.09090909091,0
3,4,avg,0.9908673886,0.9977246842,1,1,0.09090909091,0
3,4,bayes,0.9908673886,0.9977246842,1,1,0.09090909091,0
3,4,elo,0.6605782591,0.8246035061,1,0,1.545454545,0
3,4,glicko,0.9908673886,0.9977246842,1,1,0.09090909091,0
3,4,bradley_terry_davidson,0.9908673886,0.9977246842,1,1,0.09090909091,0
3,4,thompson,0.9908673886,0.9977246842,1,1,0.09090909091,0
3,4,rasch,0.9908673886,0.9977246842,1,1,0.09090909091,0
3,4,borda,0.9908673886,0.9977246842,1,1,0.09090909091,0
3,4,pagerank,0.9908673886,0.9977246842,1,1,0.09090909091,0
3,4,plackett_luce,0.9908673886,0.9977246842,1,1,0.09090909091,0
3,8,avg,0.9908673886,0.9977246842,1,1,0.09090909091,0
3,8,bayes,0.9908673886,0.9977246842,1,1,0.09090909091,0
3,8,elo,0.7706746356,0.9066082747,1,1,1.181818182,0
3,8,glicko,0.9908673886,0.9977246842,1,1,0.09090909091,0
3,8,bradley_terry_davidson,0.9908673886,0.9977246842,1,1,0.09090909091,0
3,8,thompson,0.9908673886,0.9977246842,1,1,0.09090909091,0
3,8,rasch,0.9908673886,0.9977246842,1,1,0.09090909091,0
3,8,borda,0.9908673886,0.9977246842,1,1,0.09090909091,0
3,8,pagerank,0.9908673886,0.9977246842,1,1,0.09090909091,0
3,8,plackett_luce,0.9908673886,0.9977246842,1,1,0.09090909091,0
3,16,avg,0.9908673886,0.9977246842,1,1,0.09090909091,0
3,16,bayes,0.9908673886,0.9977246842,1,1,0.09090909091,0
3,16,elo,0.7339758434,0.851938429,0,0,1,0
3,16,glicko,0.9908673886,0.9977246842,1,1,0.09090909091,0
3,16,bradley_terry_davidson,0.9908673886,0.9977246842,1,1,0.09090909091,0
3,16,thompson,0.9908673886,0.9977246842,1,1,0.09090909091,0
3,16,rasch,0.9908673886,0.9977246842,1,1,0.09090909091,0
3,16,borda,0.9908673886,0.9977246842,1,1,0.09090909091,0
3,16,pagerank,0.9908673886,0.9977246842,1,1,0.09090909091,0
3,16,plackett_luce,0.9908673886,0.9977246842,1,1,0.09090909091,0
3,32,avg,0.9908673886,0.9977246842,1,1,0.09090909091,0
3,32,bayes,0.9908673886,0.9977246842,1,1,0.09090909091,0
3,32,elo,0.6972770512,0.8382709675,1,0,1.363636364,0
3,32,glicko,0.9908673886,0.9977246842,1,1,0.09090909091,0
3,32,bradley_terry_davidson,0.9908673886,0.9977246842,1,1,0.09090909091,0
3,32,thompson,0.9908673886,0.9977246842,1,1,0.09090909091,0
3,32,rasch,0.9908673886,0.9977246842,1,1,0.09090909091,0
3,32,borda,0.9908673886,0.9977246842,1,1,0.09090909091,0
3,32,pagerank,0.9908673886,0.9977246842,1,1,0.09090909091,0
3,32,plackett_luce,0.9908673886,0.9977246842,1,1,0.09090909091,0
4,1,avg,0.9444444444,0.9863013699,1,1,0.3636363636,0
4,1,bayes,0.9444444444,0.9863013699,1,1,0.3636363636,0
4,1,elo,0.6238794669,0.7653778399,0,0,1.909090909,0
4,1,glicko,0.9541685964,0.9886130432,1,1,0.2727272727,0
4,1,bradley_terry_davidson,0.9541685964,0.9886130432,1,1,0.2727272727,0
4,1,thompson,0.9174698043,0.9795014023,1,1,0.4545454545,0
4,1,rasch,0.9541685964,0.9886130432,1,1,0.2727272727,0
4,1,borda,0.9444444444,0.9863013699,1,1,0.3636363636,0
4,1,pagerank,0.9444444444,0.9863013699,1,1,0.3636363636,0
4,1,plackett_luce,0.9541685964,0.9886130432,1,1,0.2727272727,0
4,2,avg,0.9908673886,0.9977246842,1,1,0.09090909091,0
4,2,bayes,0.9908673886,0.9977246842,1,1,0.09090909091,0
4,2,elo,0.5137830904,0.6013683028,0,0,2.090909091,0
4,2,glicko,0.9908673886,0.9977246842,1,1,0.09090909091,0
4,2,bradley_terry_davidson,0.9908673886,0.9977246842,1,1,0.09090909091,0
4,2,thompson,0.9908673886,0.9977246842,1,1,0.09090909091,0
4,2,rasch,0.9908673886,0.9977246842,1,1,0.09090909091,0
4,2,borda,0.9908673886,0.9977246842,1,1,0.09090909091,0
4,2,pagerank,0.9908673886,0.9977246842,1,1,0.09090909091,0
4,2,plackett_luce,0.9908673886,0.9977246842,1,1,0.09090909091,0
4,4,avg,0.9908673886,0.9977246842,1,1,0.09090909091,0
4,4,bayes,0.9908673886,0.9977246842,1,1,0.09090909091,0
4,4,elo,0.5137830904,0.6833730714,0,0,2.090909091,0
4,4,glicko,0.9908673886,0.9977246842,1,1,0.09090909091,0
4,4,bradley_terry_davidson,0.9908673886,0.9977246842,1,1,0.09090909091,0
4,4,thompson,0.9908673886,0.9977246842,1,1,0.09090909091,0
4,4,rasch,0.9908673886,0.9977246842,1,1,0.09090909091,0
4,4,borda,0.9908673886,0.9977246842,1,1,0.09090909091,0
4,4,pagerank,0.9908673886,0.9977246842,1,1,0.09090909091,0
4,4,plackett_luce,0.9908673886,0.9977246842,1,1,0.09090909091,0
4,8,avg,0.9908673886,0.9977246842,1,1,0.09090909091,0
4,8,bayes,0.9908673886,0.9977246842,1,1,0.09090909091,0
4,8,elo,0.6972770512,0.8656058904,1,0,1.363636364,0
4,8,glicko,0.9908673886,0.9977246842,1,1,0.09090909091,0
4,8,bradley_terry_davidson,0.9908673886,0.9977246842,1,1,0.09090909091,0
4,8,thompson,0.9908673886,0.9977246842,1,1,0.09090909091,0
4,8,rasch,0.9908673886,0.9977246842,1,1,0.09090909091,0
4,8,borda,0.9908673886,0.9977246842,1,1,0.09090909091,0
4,8,pagerank,0.9908673886,0.9977246842,1,1,0.09090909091,0
4,8,plackett_luce,0.9908673886,0.9977246842,1,1,0.09090909091,0
4,16,avg,0.9908673886,0.9977246842,1,1,0.09090909091,0
4,16,bayes,0.9908673886,0.9977246842,1,1,0.09090909091,0
4,16,elo,0.7706746356,0.8929408133,1,0,1.181818182,0
4,16,glicko,0.9908673886,0.9977246842,1,1,0.09090909091,0
4,16,bradley_terry_davidson,0.9908673886,0.9977246842,1,1,0.09090909091,0
4,16,thompson,0.9908673886,0.9977246842,1,1,0.09090909091,0
4,16,rasch,0.9908673886,0.9977246842,1,1,0.09090909091,0
4,16,borda,0.9908673886,0.9977246842,1,1,0.09090909091,0
4,16,pagerank,0.9908673886,0.9977246842,1,1,0.09090909091,0
4,16,plackett_luce,0.9908673886,0.9977246842,1,1,0.09090909091,0
4,32,avg,0.9908673886,0.9977246842,1,1,0.09090909091,0
4,32,bayes,0.9908673886,0.9977246842,1,1,0.09090909091,0
4,32,elo,0.5871806747,0.7790453014,0,1,1.727272727,0
4,32,glicko,0.9908673886,0.9977246842,1,1,0.09090909091,0
4,32,bradley_terry_davidson,0.9908673886,0.9977246842,1,1,0.09090909091,0
4,32,thompson,0.9908673886,0.9977246842,1,1,0.09090909091,0
4,32,rasch,0.9908673886,0.9977246842,1,1,0.09090909091,0
4,32,borda,0.9908673886,0.9977246842,1,1,0.09090909091,0
4,32,pagerank,0.9908673886,0.9977246842,1,1,0.09090909091,0
4,32,plackett_luce,0.9908673886,0.9977246842,1,1,0.09090909091,0
