method,N,metric,mean,std
bayes,8,kendall_tau_b,0.9908673886,0
bayes,8,spearman_rho,0.9977246842,0
bayes,8,top1_correct,1,0
bayes,8,top3_set_correct,1,0
bayes,8,mean_abs_rank_error,0.09090909091,0
bayes,8,recovered_true_tie,0,0
bayes,16,kendall_tau_b,0.9908673886,0
bayes,16,spearman_rho,0.9977246842,0
bayes,16,top1_correct,1,0
bayes,16,top3_set_correct,1,0
bayes,16,mean_abs_rank_error,0.09090909091,0
bayes,16,recovered_true_tie,0,0
bayes,32,kendall_tau_b,0.9908673886,0
bayes,32,spearman_rho,0.9977246842,0
bayes,32,top1_correct,1,0
bayes,32,top3_set_correct,1,0
bayes,32,mean_abs_rank_error,0.09090909091,0
bayes,32,recovered_true_tie,0,0
borda,1,kendall_tau_b,0.9792616526,0.02010172448
borda,1,spearman_rho,0.9948688556,0.004946440204
borda,1,top1_correct,1,0
borda,1,top3_set_correct,1,0
borda,1,mean_abs_rank_error,0.1590909091,0.1180943732
borda,1,recovered_true_tie,0,0
borda,2,kendall_tau_b,0.9908673886,0
borda,2,spearman_rho,0.9977246842,0
borda,2,top1_correct,1,0
borda,2,top3_set_correct,1,0
borda,2,mean_abs_rank_error,0.09090909091,0
borda,2,recovered_true_tie,0,0
borda,4,kendall_tau_b,0.9908673886,0
borda,4,spearman_rho,0.9977246842,0
borda,4,top1_correct,1,0
borda,4,top3_set_correct,1,0
borda,4,mean_abs_rank_error,0.09090909091,0
borda,4,recovered_true_tie,0,0
borda,8,kendall_tau_b,0.9908673886,0
borda,8,spearman_rho,0.9977246842,0
borda,8,top1_correct,1,0
borda,8,top3_set_correct,1,0
borda,8,mean_abs_rank_error,0.09090909091,0
borda,8,recovered_true_tie,0,0
borda,16,kendall_tau_b,0.9908673886,0
borda,16,spearman_rho,0.9977246842,0
borda,16,top1_correct,1,0
borda,16,top3_set_correct,1,0
borda,16,mean_abs_rank_error,0.09090909091,0
borda,16,recovered_true_tie,0,0
borda,32,kendall_tau_b,0.9908673886,0
borda,32,spearman_rho,0.9977246842,0
borda,32,top1_correct,1,0
borda,32,top3_set_correct,1,0
borda,32,mean_abs_rank_error,0.09090909091,0
borda,32,recovered_true_tie,0,0
bradley_terry_davidson,1,kendall_tau_b,0.9816926906,0.01589104315
bradley_terry_davidson,1,spearman_rho,0.995446774,0.003945456267
bradley_terry_davidson,1,top1_correct,1,0
bradley_terry_davidson,1,top3_set_correct,1,0
bradley_terry_davidson,1,mean_abs_rank_error,0.1363636364,0.07872958216
bradley_terry_davidson,1,recovered_true_tie,0,0
bradley_terry_davidson,2,kendall_tau_b,0.9908673886,0
bradley_terry_davidson,2,spearman_rho,0.9977246842,0
bradley_terry_davidson,2,top1_correct,1,0
bradley_terry_davidson,2,top3_set_correct,1,0
bradley_terry_davidson,2,mean_abs_rank_error,0.09090909091,0
bradley_terry_davidson,2,recovered_true_tie,0,0
bradley_terry_davidson,4,kendall_tau_b,0.9908673886,0
bradley_terry_davidson,4,spearman_rho,0.9977246842,0
bradley_terry_davidson,4,top1_correct,1,0
bradley_terry_davidson,4,top3_set_correct,1,0
bradley_terry_davidson,4,mean_abs_rank_error,0.09090909091,0
bradley_terry_davidson,4,recovered_true_tie,0,0
bradley_terry_davidson,8,kendall_tau_b,0.9908673886,0
bradley_terry_davidson,8,spearman_rho,0.9977246842,0
bradley_terry_davidson,8,top1_correct,1,0
bradley_terry_davidson,8,top3_set_correct,1,0
bradley_terry_davidson,8,mean_abs_rank_error,0.09090909091,0
bradley_terry_davidson,8,recovered_true_tie,0,0
bradley_terry_davidson,16,kendall_tau_b,0.9908673886,0
bradley_terry_davidson,16,spearman_rho,0.9977246842,0
bradley_terry_davidson,16,top1_correct,1,0
bradley_terry_davidson,16,top3_set_correct,1,0
bradley_terry_davidson,16,mean_abs_rank_error,0.09090909091,0
bradley_terry_davidson,16,recovered_true_tie,0,0
bradley_terry_davidson,32,kendall_tau_b,0.9908673886,0
bradley_terry_davidson,32,spearman_rho,0.9977246842,0
bradley_terry_davidson,32,top1_correct,1,0
bradley_terry_davidson,32,top3_set_correct,1,0
bradley_terry_davidson,32,mean_abs_rank_error,0.09090909091,0
bradley_terry_davidson,32,recovered_true_tie,0,0
elo,1,kendall_tau_b,0.6238794669,0.05189992961
elo,1,spearman_rho,0.7608220195,0.02695259741
elo,1,top1_correct,0.5,0.5
elo,1,top3_set_correct,0,0
elo,1,mean_abs_rank_error,1.636363636,0.2727272727
elo,1,recovered_true_tie,0,0
elo,2,kendall_tau_b,0.6055300708,0.1054092553
elo,2,spearman_rho,0.7346260517,0.1149555024
elo,2,top1_correct,0,0
elo,2,top3_set_correct,0,0
elo,2,mean_abs_rank_error,1.772727273,0.4522670169
elo,2,recovered_true_tie,0,0
elo,4,kendall_tau_b,0.5963553728,0.05427824561
elo,4,spearman_rho,0.7585441092,0.05565750988
elo,4,top1_correct,0.5,0.5
elo,4,top3_set_correct,0,0
elo,4,mean_abs_rank_error,1.727272727,0.2226808857
elo,4,recovered_true_tie,0,0
elo,8,kendall_tau_b,0.7339758434,0.03669879217
elo,8,spearman_rho,0.8747175314,0.0201179585
elo,8,top1_correct,0.75,0.4330127019
elo,8,top3_set_correct,0.25,0.4330127019
elo,8,mean_abs_rank_error,1.318181818,0.1507556723
elo,8,recovered_true_tie,0,0
elo,16,kendall_tau_b,0.6330541649,0.1307193256
elo,16,spearman_rho,0.7733505258,0.1126299351
elo,16,top1_correct,0.25,0.4330127019
elo,16,top3_set_correct,0,0
elo,16,mean_abs_rank_error,1.545454545,0.560401273
elo,16,recovered_true_tie,0,0
elo,32,kendall_tau_b,0.6605782591,0.05802588532
elo,32,spearman_rho,0.8097970896,0.04973727155
elo,32,top1_correct,0.5,0.5
elo,32,top3_set_correct,0.5,0.5
elo,32,mean_abs_rank_error,1.5,0.1507556723
elo,32,recovered_true_tie,0,0
glicko,1,kendall_tau_b,0.9816926906,0.01589104315
glicko,1,spearman_rho,0.995446774,0.003945456267
glicko,1,top1_correct,1,0
glicko,1,top3_set_correct,1,0
glicko,1,mean_abs_rank_error,0.1363636364,0.07872958216
glicko,1,recovered_true_tie,0,0
glicko,2,kendall_tau_b,0.9908673886,0
glicko,2,spearman_rho,0.9977246842,0
glicko,2,top1_correct,1,0
glicko,2,top3_set_correct,1,0
glicko,2,mean_abs_rank_error,0.09090909091,0
glicko,2,recovered_true_tie,0,0
glicko,4,kendall_tau_b,0.9908673886,0
glicko,4,spearman_rho,0.9977246842,0
glicko,4,top1_correct,1,0
glicko,4,top3_set_correct,1,0
glicko,4,mean_abs_rank_error,0.09090909091,0
glicko,4,recovered_true_tie,0,0
glicko,8,kendall_tau_b,0.9908673886,0
glicko,8,spearman_rho,0.9977246842,0
glicko,8,top1_correct,1,0
glicko,8,top3_set_correct,1,0
glicko,8,mean_abs_rank_error,0.09090909091,0
glicko,8,recovered_true_tie,0,0
glicko,16,kendall_tau_b,0.9908673886,0
glicko,16,spearman_rho,0.9977246842,0
glicko,16,top1_correct,1,0
glicko,16,top3_set_correct,1,0
glicko,16,mean_abs_rank_error,0.09090909091,0
glicko,16,recovered_true_tie,0,0
glicko,32,kendall_tau_b,0.9908673886,0
glicko,32,spearman_rho,0.9977246842,0
glicko,32,top1_correct,1,0
glicko,32,top3_set_correct,1,0
glicko,32,mean_abs_rank_error,0.09090909091,0
glicko,32,recovered_true_tie,0,0
pagerank,1,kendall_tau_b,0.9792616526,0.02010172448
pagerank,1,spearman_rho,0.9948688556,0.004946440204
pagerank,1,top1_correct,1,0
pagerank,1,top3_set_correct,1,0
pagerank,1,mean_abs_rank_error,0.1590909091,0.1180943732
pagerank,1,recovered_true_tie,0,0
pagerank,2,kendall_tau_b,0.9908673886,0
pagerank,2,spearman_rho,0.9977246842,0
pagerank,2,top1_correct,1,0
pagerank,2,top3_set_correct,1,0
pagerank,2,mean_abs_rank_error,0.09090909091,0
pagerank,2,recovered_true_tie,0,0
pagerank,4,kendall_tau_b,0.9908673886,0
pagerank,4,spearman_rho,0.9977246842,0
pagerank,4,top1_correct,1,0
pagerank,4,top3_set_correct,1,0
pagerank,4,mean_abs_rank_error,0.09090909091,0
pagerank,4,recovered_true_tie,0,0
pagerank,8,kendall_tau_b,0.9908673886,0
pagerank,8,spearman_rho,0.9977246842,0
pagerank,8,top1_correct,1,0
pagerank,8,top3_set_correct,1,0
pagerank,8,mean_abs_rank_error,0.09090909091,0
pagerank,8,recovered_true_tie,0,0
pagerank,16,kendall_tau_b,0.9908673886,0
pagerank,16,spearman_rho,0.9977246842,0
pagerank,16,top1_correct,1,0
pagerank,16,top3_set_correct,1,0
pagerank,16,mean_abs_rank_error,0.09090909091,0
pagerank,16,recovered_true_tie,0,0
pagerank,32,kendall_tau_b,0.9908673886,0
pagerank,32,spearman_rho,0.9977246842,0
pagerank,32,top1_correct,1,0
pagerank,32,top3_set_correct,1,0
pagerank,32,mean_abs_rank_error,0.09090909091,0
pagerank,32,recovered_true_tie,0,0
plackett_luce,1,kendall_tau_b,0.9816926906,0.01589104315
plackett_luce,1,spearman_rho,0.995446774,0.003945456267
plackett_luce,1,top1_correct,1,0
plackett_luce,1,top3_set_correct,1,0
plackett_luce,1,mean_abs_rank_error,0.1363636364,0.07872958216
plackett_luce,1,recovered_true_tie,0,0
plackett_luce,2,kendall_tau_b,0.9908673886,0
plackett_luce,2,spearman_rho,0.9977246842,0
plackett_luce,2,top1_correct,1,0
plackett_luce,2,top3_set_correct,1,0
plackett_luce,2,mean_abs_rank_error,0.09090909091,0
plackett_luce,2,recovered_true_tie,0,0
plackett_luce,4,kendall_tau_b,0.9908673886,0
plackett_luce,4,spearman_rho,0.9977246842,0
plackett_luce,4,top1_correct,1,0
plackett_luce,4,top3_set_correct,1,0
plackett_luce,4,mean_abs_rank_error,0.09090909091,0
plackett_luce,4,recovered_true_tie,0,0
plackett_luce,8,kendall_tau_b,0.9908673886,0
plackett_luce,8,spearman_rho,0.9977246842,0
plackett_luce,8,top1_correct,1,0
plackett_luce,8,top3_set_correct,1,0
plackett_luce,8,mean_abs_rank_error,0.09090909091,0
plackett_luce,8,recovered_true_tie,0,0
plackett_luce,16,kendall_tau_b,0.9908673886,0
plackett_luce,16,spearman_rho,0.9977246842,0
plackett_luce,16,top1_correct,1,0
plackett_luce,16,top3_set_correct,1,0
plackett_luce,16,mean_abs_rank_error,0.09090909091,0
plackett_luce,16,recovered_true_tie,0,0
plackett_luce,32,kendall_tau_b,0.9908673886,0
plackett_luce,32,spearman_rho,0.9977246842,0
plackett_luce,32,top1_correct,1,0
plackett_luce,32,top3_set_correct,1,0
plackett_luce,32,mean_abs_rank_error,0.09090909091,0
plackett_luce,32,recovered_true_tie,0,0
rasch,1,kendall_tau_b,0.9633432945,0.01589104315
rasch,1,spearman_rho,0.9908909535,0.003945456267
rasch,1,top1_correct,1,0
rasch,1,top3_set_correct,1,0
rasch,1,mean_abs_rank_error,0.2272727273,0.07872958216
rasch,1,recovered_true_tie,0,0
rasch,2,kendall_tau_b,0.9908673886,0
rasch,2,spearman_rho,0.9977246842,0
rasch,2,top1_correct,1,0
rasch,2,top3_set_correct,1,0
rasch,2,mean_abs_rank_error,0.09090909091,0
rasch,2,recovered_true_tie,0,0
rasch,4,kendall_tau_b,0.9908673886,0
rasch,4,spearman_rho,0.9977246842,0
rasch,4,top1_correct,1,0
rasch,4,top3_set_correct,1,0
rasch,4,mean_abs_rank_error,0.09090909091,0
rasch,4,recovered_true_tie,0,0
rasch,8,kendall_tau_b,0.9908673886,0
rasch,8,spearman_rho,0.9977246842,0
rasch,8,top1_correct,1,0
rasch,8,top3_set_correct,1,0
rasch,8,mean_abs_rank_error,0.09090909091,0
rasch,8,recovered_true_tie,0,0
rasch,16,kendall_tau_b,0.9908673886,0
rasch,16,spearman_rho,0.9977246842,0
rasch,16,top1_correct,1,0
rasch,16,top3_set_correct,1,0
rasch,16,mean_abs_rank_error,0.09090909091,0
rasch,16,recovered_true_tie,0,0
rasch,32,kendall_tau_b,0.9908673886,0
rasch,32,spearman_rho,0.9977246842,0
rasch,32,top1_correct,1,0
rasch,32,top3_set_correct,1,0
rasch,32,mean_abs_rank_error,0.09090909091,0
rasch,32,recovered_true_tie,0,0
thompson,1,kendall_tau_b,0.9725179925,0.03178208631
thompson,1,spearman_rho,0.9931688637,0.007890912534
thompson,1,top1_correct,1,0
thompson,1,top3_set_correct,1,0
thompson,1,mean_abs_rank_error,0.1818181818,0.1574591643
thompson,1,recovered_true_tie,0,0
thompson,2,kendall_tau_b,0.9908673886,0
thompson,2,spearman_rho,0.9977246842,0
thompson,2,top1_correct,1,0
thompson,2,top3_set_correct,1,0
thompson,2,mean_abs_rank_error,0.09090909091,0
thompson,2,recovered_true_tie,0,0
thompson,4,kendall_tau_b,0.9908673886,0
thompson,4,spearman_rho,0.9977246842,0
thompson,4,top1_correct,1,0
thompson,4,top3_set_correct,1,0
thompson,4,mean_abs_rank_error,0.09090909091,0
thompson,4,recovered_true_tie,0,0
thompson,8,kendall_tau_b,0.9908673886,0
thompson,8,spearman_rho,0.9977246842,0
thompson,8,top1_correct,1,0
thompson,8,top3_set_correct,1,0
thompson,8,mean_abs_rank_error,0.09090909091,0
thompson,8,recovered_true_tie,0,0
thompson,16,kendall_tau_b,0.9908673886,0
thompson,16,spearman_rho,0.9977246842,0
thompson,16,top1_correct,1,0
thompson,16,top3_set_correct,1,0
thompson,16,mean_abs_rank_error,0.09090909091,0
thompson,16,recovered_true_tie,0,0
thompson,32,kendall_tau_b,0.9908673886,0
thompson,32,spearman_rho,0.9977246842,0
thompson,32,top1_correct,1,0
thompson,32,top3_set_correct,1,0
thompson,32,mean_abs_rank_error,0.09090909091,0
thompson,32,recovered_true_tie,0,0
